epoch,HR,NDCG
0,0.1041,0.0474
1,0.0992,0.0468
2,0.1146,0.0551
3,0.269,0.1384
4,0.3884,0.2121
5,0.422,0.2338
6,0.4386,0.2437
7,0.455,0.2509
8,0.4719,0.2585
9,0.4866,0.268
10,0.4988,0.2762
11,0.5118,0.2838
12,0.5215,0.2902
13,0.5356,0.2985
14,0.5483,0.3064
15,0.5624,0.3139
16,0.5762,0.3233
17,0.5853,0.3301
18,0.5925,0.3333
19,0.5993,0.3392
20,0.6033,0.3427
21,0.6119,0.3466
22,0.6171,0.3487
23,0.6217,0.353
24,0.6235,0.3554
25,0.6275,0.3576
26,0.632,0.3598
27,0.6331,0.3625
28,0.6334,0.3612
29,0.6351,0.3634
30,0.6382,0.3646
31,0.6374,0.3654
32,0.6379,0.3665
33,0.6399,0.366
34,0.6412,0.368
35,0.6387,0.368
36,0.6369,0.368
37,0.6384,0.3675
38,0.6387,0.3686
39,0.6397,0.3691
40,0.6397,0.3691
41,0.6425,0.3701
42,0.6407,0.3702
43,0.6382,0.3693
44,0.6411,0.3702
45,0.643,0.3709
46,0.6406,0.3694
47,0.6424,0.3711
48,0.6417,0.37
49,0.6432,0.3706
50,0.6419,0.3701
51,0.6396,0.3686
52,0.6399,0.3696
53,0.6386,0.3693
54,0.6417,0.3698
55,0.6427,0.3696
56,0.6421,0.3707
57,0.6424,0.3704
58,0.6424,0.3708
59,0.6449,0.3714
60,0.6455,0.3712
61,0.6414,0.3708
62,0.6417,0.3704
63,0.6444,0.3712
64,0.6421,0.3712
65,0.6417,0.372
66,0.6396,0.3692
67,0.6387,0.3688
68,0.6424,0.3696
69,0.6419,0.3702
70,0.6402,0.3695
71,0.6404,0.3706
72,0.6401,0.3695
73,0.6368,0.3682
74,0.6387,0.37
75,0.6394,0.3709
76,0.6407,0.369
77,0.6402,0.37
78,0.644,0.372
79,0.6416,0.3704
80,0.6402,0.3693
81,0.6373,0.3684
82,0.6412,0.3689
83,0.6396,0.3691
84,0.6401,0.3686
85,0.6414,0.3697
86,0.6421,0.3702
87,0.6416,0.3704
88,0.6401,0.3684
89,0.6394,0.3694
90,0.6412,0.3699
91,0.6402,0.3697
92,0.6416,0.3703
93,0.6434,0.3704
94,0.6427,0.3711
95,0.6401,0.3692
96,0.6406,0.3674
97,0.6401,0.3679
98,0.6381,0.3684
99,0.6397,0.3702
100,0.6404,0.3696
101,0.6412,0.3695
102,0.6412,0.3685
103,0.6409,0.3683
104,0.643,0.3698
105,0.6411,0.3694
106,0.6406,0.3695
107,0.6406,0.3686
108,0.6389,0.3689
109,0.6417,0.3704
110,0.6411,0.3694
111,0.6404,0.3687
112,0.6404,0.3686
113,0.6401,0.3695
114,0.6427,0.3699
115,0.6416,0.369
116,0.6401,0.3683
117,0.6404,0.3694
118,0.6417,0.3704
119,0.6429,0.3696
120,0.6425,0.37
121,0.6421,0.3695
122,0.643,0.3699
123,0.6445,0.3707
124,0.6411,0.3694
125,0.6394,0.3678
126,0.6416,0.3687
127,0.6412,0.3709
128,0.6406,0.3694
129,0.6391,0.3689
130,0.6419,0.3692
131,0.6391,0.3673
132,0.6397,0.3691
133,0.6396,0.3676
134,0.6404,0.3696
135,0.6404,0.3694
136,0.6411,0.3695
137,0.6394,0.3685
138,0.6409,0.369
139,0.6425,0.3691
140,0.6416,0.3685
141,0.6425,0.3696
142,0.6407,0.3699
143,0.6414,0.369
144,0.6414,0.3701
145,0.6412,0.3698
146,0.6407,0.3698
147,0.6409,0.3698
148,0.6402,0.3694
149,0.6412,0.3698
150,0.6414,0.3702
151,0.6407,0.3692
152,0.6417,0.3698
153,0.6412,0.3693
154,0.6391,0.3696
155,0.6387,0.3688
156,0.6409,0.3685
157,0.6427,0.3693
158,0.6397,0.3696
159,0.6381,0.3692
160,0.6381,0.3693
161,0.6392,0.368
162,0.6394,0.3681
163,0.6391,0.3685
164,0.6417,0.3694
165,0.6406,0.3694
166,0.6424,0.3702
167,0.6397,0.3686
168,0.644,0.3704
169,0.6409,0.3697
170,0.6389,0.3683
171,0.6407,0.3692
172,0.6407,0.3697
173,0.6407,0.3694
174,0.6396,0.3679
175,0.6454,0.371
176,0.6401,0.3692
177,0.6402,0.368
178,0.6402,0.3681
179,0.6409,0.3695
180,0.6427,0.37
181,0.6399,0.3705
182,0.6429,0.3713
183,0.6424,0.3705
184,0.6421,0.3712
185,0.6389,0.3689
186,0.6422,0.3703
187,0.6404,0.3699
188,0.6421,0.37
189,0.6399,0.3689
190,0.6401,0.3689
191,0.6381,0.3688
192,0.6394,0.3684
193,0.6392,0.3678
194,0.6399,0.3686
195,0.6399,0.3688
196,0.6404,0.3685
197,0.6416,0.3692
198,0.6409,0.3702
199,0.6424,0.3699
