epoch,HR,NDCG
0,0.6363,0.3675
1,0.6407,0.3708
2,0.6397,0.3708
3,0.643,0.3744
4,0.6439,0.3746
5,0.6505,0.378
6,0.6477,0.3767
7,0.646,0.3759
8,0.647,0.3761
9,0.6455,0.3745
10,0.6502,0.3796
11,0.651,0.3788
12,0.6492,0.3778
13,0.6459,0.3751
14,0.6558,0.379
15,0.6528,0.3788
16,0.6505,0.3776
17,0.6502,0.3774
18,0.6548,0.3787
19,0.655,0.3805
20,0.653,0.3785
21,0.6513,0.3765
22,0.6502,0.3784
23,0.6464,0.3759
24,0.6546,0.3825
25,0.6517,0.38
26,0.6517,0.3778
27,0.6528,0.3807
28,0.6505,0.3781
29,0.6515,0.3797
30,0.6541,0.3827
31,0.6541,0.3814
32,0.6508,0.381
33,0.6523,0.3814
34,0.6541,0.383
35,0.6576,0.3842
36,0.6581,0.3842
37,0.6555,0.3827
38,0.655,0.3805
39,0.6594,0.3867
40,0.6581,0.3826
41,0.6538,0.3805
42,0.6553,0.384
43,0.6599,0.3856
44,0.6566,0.3846
45,0.6576,0.3852
46,0.6546,0.3834
47,0.6581,0.3845
48,0.6591,0.3837
49,0.6571,0.3859
50,0.6535,0.3838
51,0.6553,0.3847
52,0.6522,0.3837
53,0.6543,0.3849
54,0.6584,0.3856
55,0.6535,0.3831
56,0.6492,0.382
57,0.6545,0.3835
58,0.6541,0.3819
59,0.656,0.3845
60,0.6608,0.3864
61,0.6603,0.3857
62,0.654,0.3833
63,0.6512,0.3791
64,0.654,0.3838
65,0.6551,0.3828
66,0.6579,0.3863
67,0.6535,0.3838
68,0.6548,0.3823
69,0.6508,0.3817
70,0.6563,0.3836
71,0.6644,0.3885
72,0.6594,0.3863
73,0.6579,0.383
74,0.6624,0.3876
75,0.6561,0.3819
76,0.6589,0.3866
77,0.6546,0.3833
78,0.6535,0.3826
79,0.6536,0.3824
80,0.6561,0.3821
81,0.6488,0.3805
82,0.6517,0.3799
83,0.6579,0.3837
84,0.6528,0.3799
85,0.6566,0.3839
86,0.6523,0.3822
87,0.654,0.3827
88,0.6507,0.3786
89,0.6531,0.3834
90,0.653,0.3823
91,0.6507,0.3832
92,0.6528,0.3817
93,0.6565,0.3842
94,0.6536,0.3814
95,0.6566,0.3829
96,0.6548,0.3818
97,0.6563,0.3846
98,0.6487,0.3811
99,0.6526,0.381
100,0.653,0.381
101,0.6512,0.3805
102,0.6531,0.3829
103,0.6571,0.3851
104,0.6584,0.3842
105,0.6518,0.3805
106,0.6545,0.3811
107,0.651,0.3796
108,0.6538,0.381
109,0.6477,0.3766
110,0.6533,0.3806
111,0.6581,0.3837
112,0.651,0.3802
113,0.6546,0.3818
114,0.6538,0.3801
115,0.649,0.3787
116,0.6535,0.3794
117,0.651,0.3801
118,0.6545,0.3802
119,0.6478,0.3774
120,0.652,0.381
121,0.6505,0.381
122,0.6497,0.3816
123,0.6551,0.384
124,0.653,0.383
125,0.654,0.3821
126,0.6528,0.3817
127,0.6475,0.3789
128,0.655,0.3814
129,0.6493,0.3779
130,0.6515,0.3802
131,0.6536,0.3805
132,0.6548,0.3828
133,0.656,0.3823
134,0.6507,0.3794
135,0.6495,0.3779
136,0.6503,0.3816
137,0.6546,0.3819
138,0.6474,0.3796
139,0.6523,0.3821
140,0.6533,0.3814
141,0.6512,0.3795
142,0.6518,0.3812
143,0.6563,0.3824
144,0.6512,0.3822
145,0.6485,0.3778
146,0.6565,0.3828
147,0.6508,0.381
148,0.6497,0.3791
149,0.6474,0.379
150,0.6507,0.3806
151,0.6515,0.3784
152,0.6536,0.38
153,0.6478,0.3767
154,0.6541,0.3828
155,0.65,0.3809
156,0.6531,0.3834
157,0.6517,0.381
158,0.6503,0.3803
159,0.6546,0.3832
160,0.651,0.3816
161,0.6513,0.3815
162,0.6505,0.3795
163,0.6535,0.3833
164,0.6533,0.3822
165,0.6543,0.3844
166,0.65,0.3813
167,0.6512,0.3829
168,0.6485,0.3809
169,0.6528,0.3833
170,0.653,0.3797
171,0.6487,0.3797
172,0.6536,0.3833
173,0.6525,0.3795
174,0.6583,0.3834
175,0.6518,0.3813
176,0.655,0.3832
177,0.6541,0.3825
178,0.6538,0.3851
179,0.6513,0.383
180,0.6536,0.3831
181,0.6538,0.3847
182,0.6535,0.3833
183,0.6518,0.3811
184,0.6556,0.3824
185,0.6525,0.3799
186,0.6525,0.3811
187,0.6596,0.3861
188,0.6571,0.3842
189,0.654,0.3827
190,0.6535,0.3824
191,0.6536,0.3829
192,0.6507,0.3818
193,0.653,0.3822
194,0.6533,0.3831
195,0.6528,0.3823
196,0.648,0.3816
197,0.6528,0.3797
198,0.6548,0.3807
199,0.6543,0.3811
